group,value,candidates,allowed,blocked,allowed_pct,avg_risk_pct,min_risk_pct,max_risk_pct,full_risk_trades,reduced_risk_trades,zero_risk_trades
all,all,21520,13,21507,0.06,7e-06,0.0,0.005,0,30,21490
allowed,allowed,13,13,0,100.0,0.005,0.005,0.005,0,13,0
allowed,blocked,21507,0,21507,0.0,4e-06,0.0,0.005,0,17,21490
reason,allowed_full_balanced,13,13,0,100.0,0.005,0.005,0.005,0,13,0
reason,candle_type_filtered,1,0,1,0.0,0.0,0.0,0.0,0,0,1
reason,quality_skip,1466,0,1466,0.0,0.0,0.0,0.0,0,0,1466
reason,setup_filtered,9106,0,9106,0.0,9e-06,0.0,0.005,0,17,9089
reason,structure_skip,10934,0,10934,0.0,0.0,0.0,0.0,0,0,10934
universe_state,allowed,21520,13,21507,0.06,7e-06,0.0,0.005,0,30,21490
quality_decision,SKIP,1466,0,1466,0.0,0.0,0.0,0.0,0,0,1466
quality_decision,TAKE,40,0,40,0.0,0.002125,0.0,0.005,0,17,23
quality_decision,WATCH,20014,13,20001,0.06,3e-06,0.0,0.005,0,13,20001
structure_decision,SKIP,11973,0,11973,0.0,0.0,0.0,0.0,0,0,11973
structure_decision,TAKE,4484,0,4484,0.0,1.9e-05,0.0,0.005,0,17,4467
structure_decision,WATCH,5063,13,5050,0.26,1.3e-05,0.0,0.005,0,13,5050
quality_x_structure,SKIP+SKIP,1039,0,1039,0.0,0.0,0.0,0.0,0,0,1039
quality_x_structure,SKIP+TAKE,186,0,186,0.0,0.0,0.0,0.0,0,0,186
quality_x_structure,SKIP+WATCH,241,0,241,0.0,0.0,0.0,0.0,0,0,241
quality_x_structure,TAKE+SKIP,13,0,13,0.0,0.0,0.0,0.0,0,0,13
quality_x_structure,TAKE+TAKE,17,0,17,0.0,0.005,0.005,0.005,0,17,0
quality_x_structure,TAKE+WATCH,10,0,10,0.0,0.0,0.0,0.0,0,0,10
quality_x_structure,WATCH+SKIP,10921,0,10921,0.0,0.0,0.0,0.0,0,0,10921
quality_x_structure,WATCH+TAKE,4281,0,4281,0.0,0.0,0.0,0.0,0,0,4281
quality_x_structure,WATCH+WATCH,4812,13,4799,0.27,1.4e-05,0.0,0.005,0,13,4799
risk_bucket,reduced_risk,30,13,17,43.33,0.005,0.005,0.005,0,30,0
risk_bucket,zero_risk,21490,0,21490,0.0,0.0,0.0,0.0,0,0,21490
target_policy,allow_wider_trend_target,4208,0,4208,0.0,1.2e-05,0.0,0.005,0,10,4198
target_policy,no_trade,11973,0,11973,0.0,0.0,0.0,0.0,0,0,11973
target_policy,normal_target,5071,13,5058,0.26,1.3e-05,0.0,0.005,0,13,5058
target_policy,range_mid_or_opposite_boundary,268,0,268,0.0,0.000131,0.0,0.005,0,7,261
setup_type,breakout,17883,0,17883,0.0,2e-06,0.0,0.005,0,8,17875
setup_type,ignition,411,0,411,0.0,0.0,0.0,0.0,0,0,411
setup_type,liquidity_reclaim,1546,0,1546,0.0,0.0,0.0,0.0,0,0,1546
setup_type,pullback,529,0,529,0.0,1.9e-05,0.0,0.005,0,2,527
setup_type,pullback_resumption,19,13,6,68.42,0.003421,0.0,0.005,0,13,6
setup_type,pullback_resumption_strict,9,0,9,0.0,0.0,0.0,0.0,0,0,9
setup_type,range_rotation,1100,0,1100,0.0,3.2e-05,0.0,0.005,0,7,1093
setup_type,watch_impulse,23,0,23,0.0,0.0,0.0,0.0,0,0,23
trend_context,range,718,0,718,0.0,4.9e-05,0.0,0.005,0,7,711
trend_context,trend,20802,13,20789,0.06,6e-06,0.0,0.005,0,23,20779
volatility_regime,high,17791,0,17791,0.0,0.0,0.0,0.0,0,0,17791
volatility_regime,low,1392,4,1388,0.29,5.7e-05,0.0,0.005,0,16,1376
volatility_regime,normal,2337,9,2328,0.39,3e-05,0.0,0.005,0,14,2323
